user,time,pattern
685,E,"(55, 26)"
685,E,"(55, 26)"
685,E,"(55, 26)"
1805,E,"(14, 66)"
1805,E,"(14, 66)"
1805,E,"(14, 66)"
1953,E,"(55, 27)"
1953,E,"(55, 27)"
1953,E,"(55, 27)"
2449,E,"(49, 38)"
2449,E,"(49, 38)"
2449,E,"(49, 38)"
2332,E,"(28, 22)"
2332,E,"(28, 22)"
2332,E,"(28, 22)"
545,E,"(10, 12)"
545,E,"(10, 12)"
545,E,"(10, 12)"
2823,E,"(22, 40)"
2823,E,"(22, 40)"
2823,E,"(22, 40)"
3423,E,"(59, 31)"
3423,E,"(59, 31)"
3423,E,"(59, 31)"
1750,E,"(37, 28)"
1750,E,"(37, 28)"
1750,E,"(37, 28)"
3547,E,"(61, 15)"
3547,E,"(61, 15)"
3547,E,"(61, 15)"
1280,E,"(8, 7)"
1280,E,"(8, 7)"
1280,E,"(8, 7)"
198,E,"(26, 18)"
198,E,"(26, 18)"
198,E,"(26, 18)"
2447,E,"(32, 18)"
2447,E,"(32, 18)"
2447,E,"(32, 18)"
1838,E,"(28, 21)"
1838,E,"(28, 21)"
1838,E,"(28, 21)"
3105,E,"(19, 64)"
3105,E,"(19, 64)"
3105,E,"(19, 64)"
3910,E,"(35, 5)"
3910,E,"(35, 5)"
3910,E,"(35, 5)"
1680,E,"(26, 11)"
1680,E,"(26, 11)"
1680,E,"(26, 11)"
132,E,"(35, 55)"
132,E,"(35, 55)"
132,E,"(35, 55)"
2870,E,"(20, 56)"
2870,E,"(20, 56)"
2870,E,"(20, 56)"
1469,E,"(18, 59)"
1469,E,"(18, 59)"
1469,E,"(18, 59)"
2045,E,"(59, 13)"
2045,E,"(59, 13)"
2045,E,"(59, 13)"
1887,E,"(55, 13)"
1887,E,"(55, 13)"
1887,E,"(55, 13)"
2521,E,"(14, 2)"
2521,E,"(14, 2)"
2521,E,"(14, 2)"
1615,E,"(23, 60)"
1615,E,"(23, 60)"
1615,E,"(23, 60)"
3227,E,"(11, 61)"
3227,E,"(11, 61)"
3227,E,"(11, 61)"
821,E,"(8, 48)"
821,E,"(8, 48)"
821,E,"(8, 48)"
2390,E,"(30, 41)"
2390,E,"(30, 41)"
2390,E,"(30, 41)"
383,E,"(6, 61)"
383,E,"(6, 61)"
383,E,"(6, 61)"
695,E,"(3, 47)"
695,E,"(3, 47)"
695,E,"(3, 47)"
2691,E,"(17, 23)"
2691,E,"(17, 23)"
2691,E,"(17, 23)"
2238,E,"(49, 30)"
2238,E,"(49, 30)"
2238,E,"(49, 30)"
746,E,"(20, 7)"
746,E,"(20, 7)"
746,E,"(20, 7)"
7,E,"(18, 13)"
7,E,"(18, 13)"
7,E,"(18, 13)"
1279,E,"(18, 48)"
1279,E,"(18, 48)"
