user,time,pattern
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
2334,E,"(15, 37)"
