user,time,pattern
2332,M,"(16, 5)"
2332,M,"(14, 9)"
2332,M,"(9, 1)"
2332,M,"(11, 1)"
2332,M,"(15, 6)"
2332,M,"(14, 58)"
2332,M,"(20, 0)"
2332,M,"(17, 4)"
2332,M,"(27, 23)"
2332,M,"(27, 4)"
2332,M,"(5, 4)"
2332,M,"(17, 12)"
2332,M,"(10, 1)"
2332,M,"(14, 3)"
2332,M,"(7, 43)"
2332,M,"(13, 3)"
2332,A,"(17, 6)"
2332,A,"(21, 4)"
2332,A,"(14, 2)"
2332,A,"(12, 3)"
2332,A,"(13, 2)"
2332,A,"(15, 2)"
2332,A,"(14, 4)"
2332,A,"(17, 4)"
2332,A,"(8, 10)"
2332,A,"(11, 2)"
2332,A,"(22, 14)"
2332,A,"(14, 5)"
2332,A,"(16, 6)"
2332,A,"(19, 1)"
2332,E,"(16, 46)"
2332,E,"(63, 19)"
2332,E,"(14, 3)"
2332,E,"(18, 12)"
2332,E,"(28, 22)"
545,M,"(6, 8)"
545,M,"(20, 2)"
545,M,"(22, 28)"
545,M,"(21, 12)"
545,M,"(4, 10)"
545,M,"(12, 9)"
545,M,"(34, 2)"
545,M,"(10, 6)"
545,M,"(39, 49)"
545,M,"(11, 0)"
545,M,"(6, 8)"
545,M,"(11, 11)"
545,M,"(14, 13)"
545,M,"(5, 4)"
545,M,"(1, 5)"
545,M,"(5, 8)"
545,M,"(3, 2)"
545,M,"(12, 7)"
545,M,"(6, 6)"
545,M,"(52, 16)"
545,M,"(7, 8)"
545,M,"(7, 6)"
545,M,"(5, 5)"
545,M,"(30, 42)"
545,M,"(30, 43)"
545,M,"(9, 6)"
545,M,"(24, 35)"
545,M,"(6, 7)"
545,M,"(5, 2)"
545,M,"(9, 18)"
545,M,"(31, 6)"
545,M,"(3, 11)"
545,M,"(12, 25)"
545,M,"(2, 26)"
545,M,"(2, 1)"
545,M,"(7, 4)"
545,M,"(8, 8)"
545,M,"(6, 9)"
545,M,"(3, 12)"
545,M,"(8, 7)"
545,M,"(4, 4)"
545,M,"(6, 2)"
545,M,"(51, 34)"
545,M,"(6, 5)"
